"msgId","msgSvrId","type","status","isSend","isShowTimer","createTime","talker","content","imgPath","reserved","lvbuffer","transContent","transBrandWording","talkerId","bizClientMsgId","bizChatId","bizChatUserId","msgSeq","flag"
"19","8312140669656320899","822083633","2","1","","1620313353262","wxid_o1ftbileig8i21","<msg><appmsg appid="""" sdkver=""0""><title>那这个呢</title><des></des><username></username><action>view</action><type>57</type><showtype>0</showtype><content></content><url></url><lowurl></lowurl><dataurl></dataurl><lowdataurl></lowdataurl><contentattr>0</contentattr><streamvideo><streamvideourl></streamvideourl><streamvideototaltime>0</streamvideototaltime><streamvideotitle></streamvideotitle><streamvideowording></streamvideowording><streamvideoweburl></streamvideoweburl><streamvideothumburl></streamvideothumburl><streamvideoaduxinfo></streamvideoaduxinfo><streamvideopublishid></streamvideopublishid></streamvideo><canvasPageItem><canvasPageXml><![CDATA[]]></canvasPageXml></canvasPageItem><refermsg><type>1</type><svrid>3184090530392207764</svrid><fromusr>wxid_o1ftbileig8i21</fromusr><chatusr>wxid_o1ftbileig8i21</chatusr><displayname>LDY</displayname><msgsource>&lt;msgsource&#x20;/&gt;&#x0A;</msgsource><content>这个月也没有加班费，虽说可以换假，但也不知道什么时候给假了，经理也不好意思让加特别晚</content></refermsg><appattach><totallen>0</totallen><attachid></attachid><cdnattachurl></cdnattachurl><emoticonmd5></emoticonmd5><aeskey></aeskey><fileext></fileext><islargefilemsg>0</islargefilemsg></appattach><extinfo></extinfo><androidsource>0</androidsource><thumburl></thumburl><mediatagname></mediatagname><messageaction><![CDATA[]]></messageaction><messageext><![CDATA[]]></messageext><emoticongift><packageflag>0</packageflag><packageid></packageid></emoticongift><emoticonshared><packageflag>0</packageflag><packageid></packageid></emoticonshared><designershared><designeruin>0</designeruin><designername>null</designername><designerrediretcturl>null</designerrediretcturl></designershared><emotionpageshared><tid>0</tid><title>null</title><desc>null</desc><iconUrl>null</iconUrl><secondUrl>null</secondUrl><pageType>0</pageType></emotionpageshared><webviewshared><shareUrlOriginal></shareUrlOriginal><shareUrlOpen></shareUrlOpen><jsAppId></jsAppId><publisherId></publisherId></webviewshared><template_id></template_id><md5></md5><weappinfo><username></username><appid></appid><appservicetype>0</appservicetype><videopageinfo><thumbwidth>0</thumbwidth><thumbheight>0</thumbheight><fromopensdk>0</fromopensdk></videopageinfo></weappinfo><statextstr></statextstr><musicShareItem><musicDuration>0</musicDuration></musicShareItem><findernamecard><username></username><avatar><![CDATA[]]></avatar><nickname></nickname><auth_job></auth_job><auth_icon>0</auth_icon><auth_icon_url></auth_icon_url></findernamecard><finderEndorsement><scene><![CDATA[0]]></scene></finderEndorsement><directshare>0</directshare><gamecenter><namecard><iconUrl></iconUrl><name></name><desc></desc><tail></tail><jumpUrl></jumpUrl></namecard></gamecenter><patMsg><chatUser></chatUser><records><recordNum>0</recordNum></records></patMsg><websearch><rec_category>0</rec_category><channelId>0</channelId></websearch></appmsg></msg>","","~SEMI_XML~","{","","","497","","-1","","0","0"
"20","1159547087089230271","1","2","1","","1620313357829","wxid_o1ftbileig8i21","不是不给假吗","","","{","","","497","","-1","","0","0"
"21","625866769897276461","1","4","0","","1620313405000","wxid_o1ftbileig8i21","这个项目的经理也不清楚什么时候给，大概就是5月中穿插着给休息一两天吧","","","{","","","497","","-1","","710488665","0"
"22","1029197361841609182","1","2","1","","1620313458024","wxid_o1ftbileig8i21","那就可以看书了吧","","","{","","","497","","-1","","0","0"
"23","2916097220609937423","1","2","1","","1620313467949","wxid_o1ftbileig8i21","一星期的假","","","{","","","497","","-1","","0","0"
"24","964992877309111678","1","4","0","","1620313499000","wxid_o1ftbileig8i21","嗯嗯，虽然很短但有也不错了[皱眉]","","","{","","","497","","-1","","710488672","0"
"25","2768911886424334333","1","4","0","","1620313520000","wxid_o1ftbileig8i21","以前都是连着国庆有一个月左右的假","","","{","","","497","","-1","","710488675","0"
"26","4721935921135294236","1","2","1","","1620313527794","wxid_o1ftbileig8i21","那今年有吗","","","{","","","497","","-1","","0","0"
"27","5035407798985795283","1","4","0","","1620313707000","wxid_o1ftbileig8i21","没，因为考试提前到8月，算是很忙的一个阶段","","","{","","","497","","-1","","710488680","0"
"28","1359118522138562425","1","2","1","","1620313722080","wxid_o1ftbileig8i21","好吧","","","{","","","497","","-1","","0","0"
"29","1864235809573040615","1","4","0","","1620313748000","wxid_o1ftbileig8i21","你要休息了吗","","","{","","","497","","-1","","710488684","0"
"30","2299546502721829185","1","2","1","","1620313756728","wxid_o1ftbileig8i21","没着呢","","","{","","","497","","-1","","0","0"
"31","9127272989897290214","1","2","1","","1620313762150","wxid_o1ftbileig8i21","陪你说会话","","","{","","","497","","-1","","0","0"
"32","2911539397685196733","1","4","0","","1620313796000","wxid_o1ftbileig8i21","我感觉自己的嘴太不严实了[皱眉]","","","{","","","497","","-1","","710488688","0"
"33","5081105197430368725","1","2","1","","1620313803244","wxid_o1ftbileig8i21","咋了","","","{","","","497","","-1","","0","0"
"34","5365379187034529963","1","2","1","","1620313805965","wxid_o1ftbileig8i21","为啥","","","{","","","497","","-1","","0","0"
"35","8497942866935163534","1","4","0","","1620313830000","wxid_o1ftbileig8i21","今天年审主项目的负责人小姐姐调侃我们三个都是单身狗时","","","{","","","497","","-1","","710488693","0"
"36","430484466256178798","1","4","0","","1620313835000","wxid_o1ftbileig8i21","我反驳了[捂脸]","","","{","","","497","","-1","","710488696","0"
"37","6149583534398093833","1","2","1","","1620313840940","wxid_o1ftbileig8i21","然后呢","","","{","","","497","","-1","","0","0"
"38","6965102780140373405","1","4","0","","1620313850000","wxid_o1ftbileig8i21","然后她们就知道了","","","{","","","497","","-1","","710488698","0"
"39","2446344784650886028","1","2","1","","1620313864362","wxid_o1ftbileig8i21","哈哈哈","","","{","","","497","","-1","","0","0"
"40","6565119971555657325","1","2","1","","1620313874130","wxid_o1ftbileig8i21","不八卦死你才怪","","","{","","","497","","-1","","0","0"
"41","6704050426541198332","1","4","0","","1620313895000","wxid_o1ftbileig8i21","哈哈哈还好只是吃饭时候碰到","","","{","","","497","","-1","","710488703","0"
"42","793038920581990153","1","2","1","","1620313931030","wxid_o1ftbileig8i21","应该的","","","{","","","497","","-1","","0","0"
"43","720796545893839001","1","4","0","","1620313968000","wxid_o1ftbileig8i21","应该啥呀","","","{","","","497","","-1","","710488707","0"
"44","3338963982556887082","1","2","1","","1620313982462","wxid_o1ftbileig8i21","承认","","","{","","","497","","-1","","0","0"
"45","5408869637236408353","1","4","0","","1620314010000","wxid_o1ftbileig8i21","嗯嗯觉得也是想要认真交往","","","{","","","497","","-1","","710488711","0"
"46","244304607089117349","1","2","1","","1620314022355","wxid_o1ftbileig8i21","屁话","","","{","","","497","","-1","","0","0"
"47","286042064733009275","1","2","1","","1620314027694","wxid_o1ftbileig8i21","你还想不认真呢？","","","{","","","497","","-1","","0","0"
"48","954674683074927411","1","4","0","","1620314115000","wxid_o1ftbileig8i21","没有，就是安全感不强[皱眉]总担心被人厌烦","","","{","","","497","","-1","","710488714","0"
"49","3889916201675400138","1","2","1","","1620314137922","wxid_o1ftbileig8i21","为啥会被烦","","","{","","","497","","-1","","0","0"
"50","395294479223661638","1","4","0","","1620314144000","wxid_o1ftbileig8i21","类似那种私底下非常认真学习表面还要装作漫不经心的样子","","","{","","","497","","-1","","710488718","0"
"51","2622446172089924893","1","2","1","","1620314175513","wxid_o1ftbileig8i21","这种怎么会烦","","","{","","","497","","-1","","0","0"
"52","2059696382106177318","1","4","0","","1620314208000","wxid_o1ftbileig8i21","还是不够自信吧，觉得自己不够有魅力","","","{","","","497","","-1","","710488724","0"
"53","1920759047670163567","1","2","1","","1620314245533","wxid_o1ftbileig8i21","那就自信起来","","","{","","","497","","-1","","0","0"
"54","6003653866140544194","1","2","1","","1620314275323","wxid_o1ftbileig8i21","不然被我PUA看你咋整","","","{","","","497","","-1","","0","0"
"55","4930163032949781670","1","4","0","","1620314290000","wxid_o1ftbileig8i21","你真想PUA我呀","","","{","","","497","","-1","","710488730","0"
"56","1282394537255415514","1","4","0","","1620314295000","wxid_o1ftbileig8i21","我妈有时候还吐槽","","","{","","","497","","-1","","710488732","0"
"57","8844393233092008106","1","2","1","","1620314301588","wxid_o1ftbileig8i21","咋吐槽","","","{","","","497","","-1","","0","0"
"58","5168912358790196921","1","4","0","","1620314303000","wxid_o1ftbileig8i21","我被那个江苏的好朋友","","","{","","","497","","-1","","710488735","0"
"59","3895098392024220058","1","4","0","","1620314306000","wxid_o1ftbileig8i21","PUA了","","","{","","","497","","-1","","710488736","0"
"60","7954571849529149766","1","4","0","","1620314309000","wxid_o1ftbileig8i21","类似的意思","","","{","","","497","","-1","","710488738","0"
"61","2541267080703634201","1","4","0","","1620314311000","wxid_o1ftbileig8i21","[捂脸][捂脸][捂脸]","","","{","","","497","","-1","","710488740","0"
"62","671104865926924697","1","2","1","","1620314348911","wxid_o1ftbileig8i21","PUA是打压，然后让你丧失信心","","","{","","","497","","-1","","0","0"
"63","5905938258175260637","1","2","1","","1620314357159","wxid_o1ftbileig8i21","达到精神控制","","","{","","","497","","-1","","0","0"
"64","6193820239895890688","1","4","0","","1620314359000","wxid_o1ftbileig8i21","哦哦那不算","","","{","","","497","","-1","","710488743","0"
"65","7296934679879865131","1","2","1","","1620314407122","wxid_o1ftbileig8i21","你妈是草木皆兵了","","","{","","","497","","-1","","0","0"
"66","9188526584858901935","1","4","0","","1620314440000","wxid_o1ftbileig8i21","哈哈哈是呀也可能就是有时候看我陪朋友不理她吃味儿吧","","","{","","","497","","-1","","710488747","0"
"67","7772340537069912280","1","2","1","","1620314472566","wxid_o1ftbileig8i21","可能就咱那的人才懂吃味儿","","","{","","","497","","-1","","0","0"
"68","1923373681454578426","1","4","0","","1620314478000","wxid_o1ftbileig8i21","哈哈哈","","","{","","","497","","-1","","710488751","0"
"69","4157779728809629843","1","2","1","","1620314482705","wxid_o1ftbileig8i21","那你陪我咋整","","","{","","","497","","-1","","0","0"
"70","6774581030995614269","1","4","0","","1620314500000","wxid_o1ftbileig8i21","说不定会挑你刺[偷笑]","","","{","","","497","","-1","","710488753","0"
"71","4973192032529275197","1","2","1","","1620314532612","wxid_o1ftbileig8i21","这回换我不自信了","","","{","","","497","","-1","","0","0"
"72","1583175986314509079","1","4","0","","1620314532613","wxid_o1ftbileig8i21","哈哈没有她巴不得我赶紧找对象嫁出去","","","{","","","497","","-1","","710488757","0"
"73","5479586363077677893","1","4","0","","1620314582000","wxid_o1ftbileig8i21","今天还收到一笔婚嫁类保险金","","","{","","","497","","-1","","710488759","0"
"74","8621096013570758225","1","2","1","","1620314589719","wxid_o1ftbileig8i21","？","","","{","","","497","","-1","","0","0"
"75","2977171921301992728","1","2","1","","1620314592948","wxid_o1ftbileig8i21","这啥","","","{","","","497","","-1","","0","0"
"76","2866937912071996400","1","4","0","","1620314592949","wxid_o1ftbileig8i21","一查原来是我妈小时候给我买的","","","{","","","497","","-1","","710488763","0"
"77","6995904542642169045","1","2","1","","1620314598095","wxid_o1ftbileig8i21","我去","","","{","","","497","","-1","","0","0"
"78","3506776223852680876","1","4","0","","1620314608000","wxid_o1ftbileig8i21","也很少","","","{","","","497","","-1","","710488766","0"
"79","7421673920002537269","1","2","1","","1620314611431","wxid_o1ftbileig8i21","这啥保险","","","{","","","497","","-1","","0","0"
"80","8432114900674309100","1","4","0","","1620314692000","wxid_o1ftbileig8i21","什么国寿英才少儿保险","","","{","","","497","","-1","","710488768","0"
"81","8422810641185286740","1","4","0","","1620314699000","wxid_o1ftbileig8i21","中国人寿的","","","{","","","497","","-1","","710488771","0"
"82","8112033557185846114","1","2","1","","1620314709982","wxid_o1ftbileig8i21","现在给你多少","","","{","","","497","","-1","","0","0"
"83","4276404190941444250","1","4","0","","1620314726000","wxid_o1ftbileig8i21","哈哈就很少呀一共两万，这次领了8000","","","{","","","497","","-1","","710488773","0"
"84","7863842710577764431","1","2","1","","1620314749217","wxid_o1ftbileig8i21","这婚嫁够干啥的","","","{","","","497","","-1","","0","0"
"85","4520077261803077048","1","2","1","","1619793759201","wxid_o1ftbileig8i21","他们想干啥？不放假了？","","","{","","","497","","-1","","0","0"
"86","8218263475142883995","1","4","0","","1619793779000","wxid_o1ftbileig8i21","哈哈哈负责人估计明天后天还工作，为了给客户赶东西","","","{","","","497","","-1","","710486091","0"
"87","7172260923509475150","1","2","1","","1619793795536","wxid_o1ftbileig8i21","这。。","","","{","","","497","","-1","","0","0"
"88","4107930464187205701","1","4","0","","1619793795537","wxid_o1ftbileig8i21","但之后她会回来的晚些，7号左右回来","","","{","","","497","","-1","","710486092","0"
"89","4168725526177534916","1","2","1","","1619793800787","wxid_o1ftbileig8i21","那还好","","","{","","","497","","-1","","0","0"
"90","3460707404826032162","1","4","0","","1619793809000","wxid_o1ftbileig8i21","所以刚才在给我交待我6号要做的事情","","","{","","","497","","-1","","710486095","0"
"91","4029500231698530569","1","2","1","","1619793831649","wxid_o1ftbileig8i21","能放你五天就不错了","","","{","","","497","","-1","","0","0"
"92","1432674219221454082","1","4","0","","1619793833000","wxid_o1ftbileig8i21","我们其他人就带着电脑回去，但没有硬性要求加班","","","{","","","497","","-1","","710486097","0"
"93","2052471324660184699","1","2","1","","1619793853203","wxid_o1ftbileig8i21","你们这么卷有加班费吗","","","{","","","497","","-1","","0","0"
"94","6778867375740873426","1","4","0","","1619793858000","wxid_o1ftbileig8i21","你对我们公司理解的很到位呀","","","{","","","497","","-1","","710486099","0"
"95","4297994659000519258","1","4","0","","1619793871000","wxid_o1ftbileig8i21","最近有，但远比不上加班强度","","","{","","","497","","-1","","710486101","0"
"96","1370923514922125587","1","4","0","","1619793908000","wxid_o1ftbileig8i21","我们前两年工资也低","","","{","","","497","","-1","","710486104","0"
"97","3216107577873554983","1","4","0","","1619793918000","wxid_o1ftbileig8i21","坚持到第三年会好一些","","","{","","","497","","-1","","710486105","0"
"98","8604743244751042693","1","2","1","","1619793920312","wxid_o1ftbileig8i21","嗯，略有耳闻","","","{","","","497","","-1","","0","0"
"99","2585839683192929934","1","4","0","","1619793968000","wxid_o1ftbileig8i21","我在想晚上回去要不给你打个语音电话","","","{","","","497","","-1","","710486107","0"
"100","7247028516296558205","1","2","1","","1619793982645","wxid_o1ftbileig8i21","我也觉得你应该打","","","{","","","497","","-1","","0","0"
"101","3048653590064873472","1","4","0","","1619793989000","wxid_o1ftbileig8i21","[皱眉]","","","{","","","497","","-1","","710486109","0"
"102","8714824668947429495","1","4","0","","1619794013000","wxid_o1ftbileig8i21","为啥呀","","","{","","","497","","-1","","710486110","0"
"103","8596444284368132351","1","4","0","","1619794036000","wxid_o1ftbileig8i21","我是觉得自己今天微信好像发了很多奇怪的话","","","{","","","497","","-1","","710486111","0"
"104","5812134370100347449","1","2","1","","1619794058574","wxid_o1ftbileig8i21","毕竟你说不是特别想花很长时间在打字上面了[皱眉]","","","{","","","497","","-1","","0","0"
"105","6307261168756573917","1","4","0","","1619794065000","wxid_o1ftbileig8i21","今天整个人状态也不太好，莫名觉得哪哪都累","","","{","","","497","","-1","","710486113","0"
"106","5018061449778361515","1","4","0","","1619794105000","wxid_o1ftbileig8i21","嗯嗯，那我到了打给你[皱眉]","","","{","","","497","","-1","","710486117","0"
"107","2081467947472237806","1","2","1","","1619794157927","wxid_o1ftbileig8i21","[无语][无语][无语]","","","{","","","497","","-1","","0","0"
"108","1372448871262324279","1","4","0","","1619794905000","wxid_o1ftbileig8i21","进客厅的时候看到了男生的运动鞋，就猜到室友男朋友过来了[皱眉]","","","{","","","497","","-1","","710486160","0"
"109","8271008085370775618","1","4","0","","1619794948000","wxid_o1ftbileig8i21","另一个室友回家了","","","{","","","497","","-1","","710486161","0"
"110","9036240872281033431","1","2","1","","1619794970700","wxid_o1ftbileig8i21","额","","","{","","","497","","-1","","0","0"
"111","8152942389336876154","1","2","1","","1619795009401","wxid_o1ftbileig8i21","都不出去玩吗","","","{","","","497","","-1","","0","0"
"112","1880043657294705759","1","2","1","","1619846203760","wxid_o1ftbileig8i21","咱们就吃个午饭吧？","","","{","","","497","","-1","","0","0"
"113","379434709266654701","1","4","0","","1619846681000","wxid_o1ftbileig8i21","嗯嗯都可以你要下午回去吗","","","{","","","497","","-1","","710486315","0"
"114","5117597549182149324","1","2","1","","1619846698153","wxid_o1ftbileig8i21","是啊","","","{","","","497","","-1","","0","0"
"115","6196691681619170144","1","2","1","","1619846772946","wxid_o1ftbileig8i21","早上九点多到，下午三点多走","","","{","","","497","","-1","","0","0"
"116","9107215947716137403","1","4","0","","1619846852000","wxid_o1ftbileig8i21","哈哈哈还挺赶","","","{","","","497","","-1","","710486319","0"
"117","8303484133886184718","1","4","0","","1619846858000","wxid_o1ftbileig8i21","嗯嗯都可以","","","{","","","497","","-1","","710486320","0"
"118","4160290984577538257","1","2","1","","1619846877679","wxid_o1ftbileig8i21","行","","","{","","","497","","-1","","0","0"
"119","8592852108316237316","1","4","0","","1619848224000","wxid_o1ftbileig8i21","你是到北京西站吗","","","{","","","497","","-1","","710486329","0"
"120","7351098298978149301","1","2","1","","1619848240855","wxid_o1ftbileig8i21","是的","","","{","","","497","","-1","","0","0"
"121","733860823958349166","1","4","0","","1619848247000","wxid_o1ftbileig8i21","我住的地方离的有些远，要不要在西单大悦城那边见面","","","{","","","497","","-1","","710486331","0"
"122","3383962322824146838","1","4","0","","1619848262000","wxid_o1ftbileig8i21","离西站近一点点","","","{","","","497","","-1","","710486332","0"
